"Company Id"|"Domain"|"Short Name"|"Keywords"|"Description Facebook"|"Descritption HTML Meta Tag"|"Description About Page Extracted"|"Country"|"State"|"City"|"Employee Count"|"Revenue"|"Funding"|"CEO"|"Founded Year"|"Industry"|"Competitor Ids"
"100001"|"vindicia.com"|"Vindicia"|"vindicia;recurring payment solution;subscription billing;client ;Ch cara casamento;men's;1 1;.co.uk domains;24 7;2009;802.11;Ahmedabad;"|||"Subscription billing and recurring payment solutions.At Vindicia, we bring enterprise class innovation to consumer facing subscription billing to help digital companies acquire and retain more customers by making payments seamless, secure and easy. We keep consumers connected to the subscription services they love, and companies connected to the subscription revenues they need.Click on the video b"|||||"17000000"|"36600000"|"Gene Hoffman; "|"2003"|"software internet and computer services"|"100020;191126;126726;"
"100002"|"ariasystems.com"|"Aria Systems"|"recurring revenue;enterprise billing;"||"Monetize customer relationships   grow recurring revenues. Aria's enterprise cloud billing platform maximizes recurring revenues   customer lifetime value.."|"Aria was founded on the simple but powerful notion that cloud billing holds the key to long term business growth and lasting customer satisfaction. We help businesses around the globe effectively monetize their products and services and efficiently engage and serve their customers. We do it all via our cloud based monetization platform, which goes beyond basic billing to manage recurring revenue o"|"united states"|"pa"|"broomall"|"134"|"28000000"|"124200000"|"Tom Dibble; "|"2003"|"software internet and computer services"|"100020;142330;100001;100671;1173235;100441;163590;139954;117262;134991;100677;115090;4773870;1001344;744329;"
"100003"|"metratech.com"|"MetraTech"||||"Join us for the 16th International Cloud Expo, to be held June 9 11, 2015, at the Javits Center in New York City. Stay tuned for more info.Free Gartner ReportThere's no simple recipe for finding IoT business opportunities, but 5 questions can often suggest areas to explore. This report is the guide you ve been waiting for.Top 10 Business TrendsUtility CIOs and IT leaders  your go to guide is here."||||"150"|"11000000"|"37500000"|"Scott Swartz; "|"01/1998"|"software internet and computer services"|"169725;146292;130388;"
"100005"|"chikpea.com"|"ChikPea"|||"ChikPea s 100  Salesforce Native SRM solution suite streamlines front office to back office management.."|"WE EMPOWER SUBSCRIPTION BUSINESSES TO SUCCEED ON SALESFORCE PLATFORM.Founded in 2006, by senior project managers and business analysts in the telecom space, ChikPea Inc. is a California corporation with offices in San Francisco CA, Kolkata India, and Hong Kong. We specialize in order management, telecom operations, billing and subscription management solutions, with custom application development "|"united states"|"ca"|"san francisco"||||"Bhaskar Roy; "||"software internet and computer services"|"219891;100020;"
"100006"|"evapt.com"|"eVapt"|"Subscription Management;utility billing;Usage Billing;Online Usage Metering;cloud metering;salesforce;Online Subscription Billing;cloud computing billing;Instant Metering   Billing;Metering   Billing Platform;Billing On Demand;net based provider billing;recurring payments;cloud billing;SaaS Billing;"||"eVapt is a proven Subscription Management,data centre billing,saas usage billing software,software as a service billing,Subscription Billing,Metering   Billing Platform for cloud computing and on demand service providers.."|"eVapt Inc provides billing solution to IaaS, SaaS, PaaS and On demand providers. Our product s core ability is managing flexible complex price plans and automating the billing. Over the years our solution has evolved into a comprehensive end to end customer management system while specializing in our core competencies. Today many enterprise grade cloud solution providers trust eVapt s billing solu"|"united states"|"tx"|"austin"|"24"|"22000000"||||"software internet and computer services"|"100020;"
"100009"|"cheddargetter.com"|"CheddarGetter"|"billing;subscription;recurring;management;"||"CheddarGetter is an online billing manager that makes recurring billing easy for startups.."||"united states"|"indiana"|"bloomington"|"25"|"11000000"||"Marc Guyer; "||"software internet and computer services"|"100011;126726;100020;"
"100010"|"braintreepayments.com"|"Braintree"|||"Braintree is the easiest way to accept payments online and on a mobile app. Apply online, instant approvals.."|"Add the following text to your marketplace's Terms of Service. Don't forget to replace  MSP  with your marketplace's name. MSP NAME  uses Braintree, a division of PayPal, Inc.  Braintree  for payment processing services. By using the Braintree payment processing services you agree to the Braintree Payment Services Agreement available at https   www.braintreepayments.com legal gateway agreement, an"|"united states"|"il"|"chicago"|"178"|"28000000"|"70200000"|"Bill Ready; "|"2007"|"software internet and computer services"|"100011;112643;1666021;"
"100011"|"spreedly.com"|"Spreedly"||||"Spreedly removes friction by helping online merchants securely store and tokenize credit card data across the broadest range of payment endpoints possible.Justin Benson   CEONathaniel Talbott   CTO"|"united states"|"north carolina"|"raleigh"|"10"|"20000000"|"5701000"|"Justin Benson; "|"2007"|"software internet and computer services"|"142330;243950;115090;100009;110424;100010;1278244;1001344;8796437;1162349;"
"100012"|"badgeville.com"|"Badgeville"|"game mechanics;gamification;"||"We help businesses increase customer loyalty and employee engagement with gamification.."||"united states"|"arizona"|"scottsdale"|"95"|"7000000"|"39750000"|"Jon Shalowitz; "|"09/2010"|"software internet and computer services"|"100015;100017;100014;100016;110340;1420965;4704840;141619;1387201;381910;7160042;1193611;377489;120998;531892;"
"100014"|"bigdoor.com"|"BigDoor"||||"Love what you do, enjoy who you work with, and build something great.BigDoor may be revolutionizing how brands and consumers engage online, but we re just a bunch of passionate, entrepreneurial people enjoying the ride.Our culture is grounded in transparency, trust, and creativity. Built from the ground up in Seattle, we focus on paving the way for brand loyalty and empowering our team to dream bi"|"united states"|"wa"|"seattle"||"2000000"|"10515000"|"Kip Madden; "|"2009"|"software internet and computer services"|"1387201;124642;"
"100015"|"bunchball.com"|"Bunchball"|"gamification engine;gamification;"|||"Bunchball combines behavioral economics, big data, and gamification to inspire loyalty that lasts. We empower businesses to motivate, engage, and generate true loyalty among customers, partners and employees. This is Loyalty 3.0.Meet the experienced Bunchball management team with deep domain expertise.Learn more about our powerful ecosystem of strategic and alliance partners.Because you need the m"||||"76"|"2000000"|"11500000"|"John Baldwin; "|"02/2005"|"software internet and computer services"|"100012;141619;143102;"
"100016"|"iactionable.com"|"IActionable"|"software adoption;goals;achievements;performance management;recognition;business gamification;employee engagement;gamification;"||"IActionable   Performance Management through Gamification."|"We can employ a variety of gamification elements that can be used to motivate and engage your employees.New employees should learn the basics before they dive in. Onboarding allows them to demonstrate basic skills and reinforce training.Goals lie at the heart of our system. You can set up clear objective goals around any metric and interval that makes sense for you.Score is a single number that su"|"united states"|"utah"|"salt lake city"|||"40000"|"Ryan Elkins; "||"software internet and computer services"|"100012;"
"100017"|"gigya.com"|"Gigya"|||"Using Social Login, RaaS and other features, we help companies build better customer relationships with Customer Identity Management. Learn more here.."||"united states"|"california"|"mountain view"|"341"|"20000000"|"104800000"|"Patrick Salyer; "|"2006"|"software internet and computer services"|"100019;171754;357731;495852;114101;141113;124642;1387201;1291608;484932;377489;167733;4388903;104210;"
"100019"|"janrain.com"|"Janrain"|"single sign on solutions;personalized marketing;customer profile data;"||"Janrain specializes in customer identity data management and social login systems so businesses know their customers and leverage data to deliver personalized marketing.."||"United States"|"OR"|"Portland"|"150"|"5000000"|"64300000"|"Larry Drebes; "|"2005"|"software internet and computer services"|"100017;171754;157782;357731;141113;711582;223414;3243912;124060;1828783;495852;2231072;124642;"
"100020"|"zuora.com"|"Zuora"|||"Zuora's cloud technologies help companies build subscription business models by establishing, cultivating and monetizing recurring customer relationships.."|"It all began with a vision in a tiny office in Mountain View, California. In 2007, after several years at WebEx   salesforce.com, K.V. Rao, Cheng Zou and Tien Tzuo began to evangelize a fundamentally new business model. One where companies of all sizes would offer broad libraries of services via subscriptions. And one that would challenge the 20th century manufacturing economy by shifting the focu"|"united states"|"california"|"foster city"|"469"|"51000000"|"242500000"|"Tien Tzuo; "|"2007"|"software internet and computer services"|"100002;100001;100009;142330;100006;126726;126048;243950;100005;100658;744329;117262;103392;101935;"
"100021"|"qualys.com"|"Qualys"|||"Qualys, Inc. helps your business automate the full spectrum of auditing, compliance and protection of your IT systems and web applications. ."|"The Leading Provider of Information Security and Compliance Cloud SolutionsThe Qualys Cloud Platform and integrated suite of solutions helps businesses simplify security operations and lower the cost of compliance by delivering critical security intelligence on demand and automating the full spectrum of auditing, compliance and protection for IT systems and web applications.Used by more than 8,000"|"france"|"california"|"courbevoie"|"510"|"164284000"|"119300000"|"Philippe Courtot; "|"1999"|"software internet and computer services"|"125347;122357;100978;"
"100022"|"nguard.com"|"nGuard"|"pci;pen test;penetration test;penetration testing;security assessments;security audit;security assessment;security testing;pci compliance;qsa;"||"nGuard is a leading information security firm providing security assessments, managed security services, compliance management and more to help better protect our clients.."|"Headquartered in Charlotte, NC, nGuard is a privately held, information security services firm. Founded in 2002, we provide exceptional security services, all over the world, to companies of all sizes and industries. Our mission  to help protect our clients  has taken us to North America, South America, Europe, South Asia, East Asia, the Middle East, and more.At nGuard, we focus on one thing  Prot"|"united states"|"north carolina"|"charlotte"|"20"|"5000000"||||"professional services"|"106739;"
"100023"|"lumension.com"|"Lumension"|"data encryption;vulnerability assessment;vulnerability management;endpoint security;patch management;regulatory compliance;data theft;compliance;web 2.0;data protection;workforce mobility;encryption;endpoint protection;outsourcing;data loss;cybercrime;malware;"||"Learn how to protect your enterprise with the leading patch, vulnerability management and endpoint security software solutions. Lumension IT security resources include demos, whitepapers, datasheets, webcasts, videos and more. Free product trials available online or call 1.888.970.1025."|"Lumension delivers proven and award winning solutions that include Vulnerability Management, Endpoint Protection, Data Protection, AntiVirus and Reporting and Compliance offerings.Lumension enables more than 3,000 customers worldwide to achieve optimal security and IT success with world class solutions, customer support and services.Lumension is focused on securing organizations efficiently. As a "|"united states"|"arizona"|"scottsdale"|"365"|"50000000"|"40000000"|"Patrick Clawson; "||"software internet and computer services"|"103566;"
"100025"|"xpenser.com"|"Xpenser"|"expense tracking;xpenser;expense;mobile;expense tracker;expense reports;"||"Xpenser  Record, approve, and manage expenses, receipts, mileage, time, and expense reports from your iPhone, Android, Windows Phone, the Web, ...."||"united states"|"ca"|"san diego"|"30"|"0"||"Parand Darugar; "||"banking financial services and insurance"|"1530089;"
"100026"|"shoeboxed.com"|"Shoeboxed"|"online bookkeeping;receipt organizer;scan business cards;evernote;receipt tracker;xero;organize receipts;shoeboxed;receipt scanning;online expense reporting;scan receipts;"||"The fast, easy way to turn receipts into an organized, IRS accepted archive online. Join the half million small businesses saving time and money with Shoeboxed.."|"Since 2007 Shoeboxed has been saving people time and money by turning piles of paper clutter into organized digital data. Shoeboxed is the easiest way to streamline accounting, bookkeeping and tax prep, allowing users to spend less time on paperwork and more time doing what they love.With over 1,000,000 accounts in 100 countries, Shoeboxed is the world s premier solution for staying organized year"|"united states"|"north carolina"|"durham"|"49"|"4000000"|"1900000"|"Taylor Mingos; "|"2007"|"software internet and computer services"|"100121;121215;104042;"
