Id,Company1Id,Company1,Company2Id,Company2,RelatedYesNo
1,100486, Owler,100082, CrunchBase, Y
2,100486, Owler,101158, Dun & Bradstreet, Y
3,103027, Spotify,111436, Apple, Y
4,103027, Spotify,103031, Pandora, Y
5,103031, Pandora,127437, iHeartRadio, Y
6,131600, Coca-Cola,131017, PepsiCo, Y
7,143877, MetLife,131379, Prudential, Y
8,136824, AIG,143877, MetLife, Y
9,100125, Eventbrite,113399, Eventbee, Y
10,113381, TicketMaster,123416, StubHub, Y
11,129074, Sonos,113615, Bose, Y
12,185436, Dartmouth College,146298, Cornell University, Y
13,118053, Netflix,101412, Amazon, Y
14,143372, HBO,219561, Showtime, Y
15,128292, McDonalds,128791, Burger King, Y
16,126020, Bank of America,127949, JPMorgan Chase, Y
17,103018, Yahoo,100651, Google, Y
18,100979, HP,102139, IBM, Y
19,131310, Visa,100650, MasterCard, Y
20,129405, CVS Pharmacy,129404, Walgreens, Y
21,103449, Verizon,101694, AT&T, Y
22,111436, Apple,124229, Samsung, Y
23,106116, BMW,153073, Mercedes-Benz, Y
24,122326, Wealthfront,123639, Betterment, Y
25,125119, Fitbit,125318, Jawbone, Y
26,131286, Chanel,150239, Calvin Klein, Y
27,126010, Walt Disney Company,143466, Viacom, Y
28,169497, Ebay,101412, Amazon, Y
29,101363, Twitter,122591, Instagram, Y
30,138983, WhatsApp,176294, Viber Media, Y
31,129312, Dominos Pizza,129313, Papa Johns, Y
32,199572, Friendlys,136788, Dennys, Y
33,120390, Yale University,128560, Harvard University, Y
34,130020,Random House,107745, Harper Collins, Y
35,128294, Dunkin Donuts,127654, Starbucks, Y
36,100497, Fidelity,124567, Vanguard, Y
37,135132, Delta Airlines,135129, American Airlines, Y
38,133958, H&M,135153, Gap, Y
39,153905, Forever 21,133958, H&M, Y
40,103035, SoundCloud,225244, 8tracks, Y
41,103035, SoundCloud,103027, Spotify, Y
42,125319, Nike,129103, New Balance, Y
43,207980, SoulCycle,220153, Flywheel Sports, Y
44,100242, Uber,123687, Lyft, Y
45,133360, In-N-Out Burger,133361, Five Guys, Y
46,100978, Microsoft,111436, Apple, Y
47,130026, Recreational Equipment Inc.,196639, Eastern Mountain Sports, Y
48,101677, Canon,129864, Nikon, Y
49,124229, Samsung,101872, LG, Y
50,183324, Sony,124229, Samsung, Y
51,101887, Hulu,118053, Netflix, Y
52,219561, Showtime ,177338, Starz, Y
53,143372, HBO,118053, Netflix, Y
54,175455, NBCUniversal,135154, CBS Corp, Y
55,153216, Audi,132542, Porsche, Y
56,127951, Morgan Stanley,127950, Goldman Sachs, Y
57,128515, Citigroup,127950, Goldman Sachs, Y
58,103992, Credit Suisse Group AG,127949, JPMorgan Chase, Y
59,106061, Best Buy,101450, Target, Y
60,123612, Costco,136830, Walmart, Y
61,101450, Target,136830, Walmart, Y
62,128935, Exxon Mobil,128936, Chevron, Y
63,125319, Nike,130854, Reebok, Y
64,137661, Under Armour,125319, Nike, Y
65,100427, Bloomberg,103807, Dow Jones, Y
66,138613, Enterprise,113589, Hertz, Y
67,113589, Hertz,113595, Avis, Y
68,141188, Snapchat,122591, Instagram, Y
69,105907, Skype,100651, Google, Y
70,104273, Foursquare Labs,103017, Yelp, Y
71,106705, Urbanspoon,103017, Yelp, Y
72,104688, Glassdoor,111706, Indeed, Y
73,111702, CareerBuilder,111706, Indeed, Y
74,131333, AMC Entertainment Holdings,134205, Regal Entertainment Group, Y
75,131333, AMC Entertainment Holdings,134207, Cinemark Holdings, Y
76,131362, Chipotle,128794, Subway, Y
77,173841, Pinkberry,190426, Red Mango, Y
78,154924, Staples,128901, Office Depot, Y
79,123078, Craigslist,169497, Ebay, Y
80,116231, Airbnb,118461, HomeAway, Y
81,101414, Bed Bath & Beyond,136830, Walmart, Y
82,196591, Ikea,136830, Walmart, Y
83,101452, Pottery Barn,135907, Ethan Allen, Y
84,128292, McDonalds,128294, Dunkin Donuts, Y
85,146298, Cornell University,203426, Brown University, Y
86,152095, Princeton University,120390, Yale University, Y
87,128795, KFC,128792, Wendys, Y
88,129314, Popeyes,128795, KFC, Y
89,102260, Intel,126739, Advanced Micro Devices, Y
90,128775, UBS Group,138616, Deutsche Bank, Y
91,124586, Unilever,124582, Proctor & Gamble Co, Y
92,150239, Calvin Klein,133961, Ralph Lauren, Y
93,133961, Ralph Lauren,210754, Tommy Hilfiger, Y
94,133961, Ralph Lauren,228909, Lacoste, Y
95,171925, Adidas,129102, Puma, Y
96,194229, Converse,134386, Vans, Y
97,129103, New Balance,194229, Converse, Y
98,103053, Facebook,100651, Google, Y
99,129254, Krispy Kreme Doughnuts,128294, Dunkin Donuts, Y
100,103053, Facebook,141188, Snapchat, Y
101,100486, Owler,185436, Dartmouth College, N
102,111436, Apple,128560, Harvard University, N
103,136830, Walmart,103031, Pandora, N
104,128292, McDonalds,103027, Spotify, N
105,123612, Costco,129314, Popeyes, N
106,127950, Goldman Sachs,171925, Adidas, N
107,100651, Google,101414, Bed Bath & Beyond, N
108,154924, Staples,104688, Glassdoor, N
109,129074, Sonos,126020, Bank of America, N
110,131362, Chipotle,105907, Skype, N
111,127654, Starbucks,100651, Google, N
